"location_name","center_lat","center_lng","bounds_northeast_lat","bounds_northeast_lng","bounds_southwest_lat","bounds_southwest_lng","viewport_northeast_lat","viewport_northeast_lng","viewport_southwest_lat","viewport_southwest_lng"
"Chula Vista, California","32.6400541","-117.0841955","32.6856099","-116.924797","32.577923","-117.1242631","32.6856099","-116.924797","32.577923","-117.1242631"
"Revere, Massachusetts","42.4084302","-71.0119948","42.4500959","-70.9507929","42.3881159","-71.033051","42.4500959","-70.9507929","42.3881159","-71.033051"
"Saint-Mandé","48.84283199999999","2.4178639","48.8493915","2.4283163","48.8337116","2.4114719","48.8493915","2.4283163","48.8337116","2.4114719"
"Caxias","-4.8653802","-43.3587107","-4.817406000000001","-43.324282","-4.9192266","-43.400732","-4.817406000000001","-43.324282","-4.9192266","-43.400732"
"Coroatá","-4.1283394","-44.130317","","","","","-4.126990419708497","-44.12896801970849","-4.129688380291502","-44.13166598029149"
"Lake Forest, California","33.6469437","-117.6861023","33.70667299999999","-117.6201666","33.6068298","-117.727001","33.70667299999999","-117.6201666","33.6068298","-117.727001"
"Grand Forks, North Dakota","47.9252568","-97.0328547","47.969701","-97.0098019","47.860166","-97.195914","47.969701","-97.0098019","47.860166","-97.195914"
"Manaus","-3.1190275","-60.0217314","-2.9269379","-59.8186489","-3.1623862","-60.1155589","-2.9269379","-59.8186489","-3.1623862","-60.1155589"
"A Coruna","43.3623436","-8.4115401","43.38640729999999","-8.3871082","43.337341","-8.4382592","43.38640729999999","-8.3871082","43.337341","-8.4382592"
"Rio Formoso","-8.6595747","-35.1535458","-8.5858043","-35.0953698","-8.7409623","-35.3582689","-8.5858043","-35.0953698","-8.7409623","-35.3582689"
"Monte Alegre","-2.0009526","-54.07350229999999","-1.9836822","-54.05737269999999","-2.0125512","-54.0880754","-1.9836822","-54.05737269999999","-2.0125512","-54.0880754"
"Vacaville, California","38.3565773","-121.9877444","38.41747489999999","-121.89695","38.3086281","-122.0324541","38.41747489999999","-121.89695","38.3086281","-122.0324541"
"Encruzilhada do Sul","-30.5455071","-52.52567879999999","-30.2093708","-52.3352437","-30.9646059","-53.0203541","-30.2093708","-52.3352437","-30.9646059","-53.0203541"
"Costeira do Pirajubae","-27.6349915","-48.5219457","-27.618229","-48.5095272","-27.6654125","-48.5271621","-27.618229","-48.5095272","-27.6654125","-48.5271621"
"Bellflower, California","33.8816818","-118.1170117","33.9104529","-118.106769","33.8655738","-118.151311","33.9104529","-118.106769","33.8655738","-118.151311"
"Vilapicina i la Torre Llobeta","41.4289148","2.1744185","41.4309758","2.1843735","41.4254504","2.1636316","41.4309758","2.1843735","41.4254504","2.1636316"
"Vaulx-en-Velin","45.782029","4.922661","45.8108523","4.9701258","45.7442478","4.8798051","45.8108523","4.9701258","45.7442478","4.8798051"
"Itaituba","-4.2647341","-55.991954","-4.2204213","-55.96787459999999","-4.2836758","-56.0222912","-4.2204213","-55.96787459999999","-4.2836758","-56.0222912"
"Itabuna","-14.7916229","-39.2833243","-14.7591468","-39.2455102","-14.8562751","-39.3471445","-14.7591468","-39.2455102","-14.8562751","-39.3471445"
